temps = 19.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 19.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 20.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 20.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 21.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 21.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 22.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 22.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 23.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 23.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 24.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 24.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 25.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 25.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 26.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 26.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 27.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 27.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 28.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 28.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 29.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 29.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 30.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 30.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 31.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 31.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 32.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 32.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 33.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 33.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 34.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 34.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 35.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 35.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 36.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 36.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 37.00	sensor = 177	 temperature = 25.61	 relai = 1
temps = 37.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 38.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 38.50	sensor = 177	 temperature = 25.61	 relai = 1
temps = 39.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 39.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 40.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 40.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 41.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 41.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 42.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 42.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 43.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 43.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 44.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 44.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 45.00	sensor = 178	 temperature = 27.54	 relai = 1
temps = 45.50	sensor = 178	 temperature = 27.54	 relai = 1
temps = 46.00	sensor = 179	 temperature = 29.47	 relai = 1
temps = 46.50	sensor = 179	 temperature = 29.47	 relai = 1
temps = 47.00	sensor = 179	 temperature = 29.47	 relai = 1
temps = 47.50	sensor = 179	 temperature = 29.47	 relai = 1
temps = 48.00	sensor = 179	 temperature = 29.47	 relai = 1
temps = 48.50	sensor = 179	 temperature = 29.47	 relai = 1
temps = 49.00	sensor = 179	 temperature = 29.47	 relai = 1
temps = 49.50	sensor = 179	 temperature = 29.47	 relai = 1
temps = 50.00	sensor = 179	 temperature = 29.47	 relai = 1
temps = 50.50	sensor = 180	 temperature = 31.40	 relai = 1
temps = 51.00	sensor = 180	 temperature = 31.40	 relai = 1
temps = 51.50	sensor = 180	 temperature = 31.40	 relai = 1
temps = 52.00	sensor = 180	 temperature = 31.40	 relai = 1
temps = 52.50	sensor = 180	 temperature = 31.40	 relai = 1
temps = 53.00	sensor = 180	 temperature = 31.40	 relai = 1
temps = 53.50	sensor = 181	 temperature = 33.33	 relai = 1
temps = 54.00	sensor = 181	 temperature = 33.33	 relai = 1
temps = 54.50	sensor = 181	 temperature = 33.33	 relai = 1
temps = 55.00	sensor = 181	 temperature = 33.33	 relai = 1
temps = 55.50	sensor = 181	 temperature = 33.33	 relai = 1
temps = 56.00	sensor = 181	 temperature = 33.33	 relai = 1
temps = 56.50	sensor = 182	 temperature = 35.26	 relai = 1
temps = 57.00	sensor = 182	 temperature = 35.26	 relai = 1
temps = 57.50	sensor = 182	 temperature = 35.26	 relai = 1
temps = 58.00	sensor = 182	 temperature = 35.26	 relai = 1
temps = 58.50	sensor = 183	 temperature = 37.19	 relai = 1
temps = 59.00	sensor = 183	 temperature = 37.19	 relai = 1
temps = 59.50	sensor = 183	 temperature = 37.19	 relai = 1
