temps = 51.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 51.50	sensor = 192	 temperature = 0.00	 relai = 1
temps = 52.00	sensor = 192	 temperature = 0.00	 relai = 1
temps = 52.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 53.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 53.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 54.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 54.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 55.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 55.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 56.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 56.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 57.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 57.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 58.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 58.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 59.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 59.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 60.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 60.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 61.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 61.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 62.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 62.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 63.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 63.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 64.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 64.50	sensor = 191	 temperature = 0.00	 relai = 1
temps = 65.00	sensor = 191	 temperature = 0.00	 relai = 1
temps = 65.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 66.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 66.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 67.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 67.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 68.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 68.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 69.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 69.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 70.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 70.50	sensor = 190	 temperature = 0.00	 relai = 1
temps = 71.00	sensor = 190	 temperature = 0.00	 relai = 1
temps = 71.50	sensor = 190	 temperature = 0.00	 relai = 1
